"","NUMBER","ACC","PAGE","Author","Year","Title","DOI","Location","Biome","Landscape","Lower_diversity_guild","Higher_diversity_guilds","Plant species family","Plant species","Pollinator variable measure","Reproductive succes measure","Response","Nc visits","Nt visits","Escala_visitas","Nc sp. Poll","Nt sp. Poll","Obs/Exp","N","Escala N","N control","N treat","Measure used","Value","df","valueC","valueT","Unidad","seC","seT","Visitas C","Visitas T","Unidad de tiempo de visitas","Country","Obs","Tiempo muestreo","Genus"
"11",NA,2,9,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"bees","Brassicaceae","Raphanus sativus","all bees (apoidea) richness","seed set","positive",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","9.2999999999999999E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Raphanus"
"12",NA,2,10,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"solitary bees","Brassicaceae","Raphanus sativus","solitary bees richness","seed set","positive",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","0.108",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Raphanus"
"13",NA,2,11,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"hoverflies","Brassicaceae","Raphanus sativus","hoverflies richness","seed set","neutral",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","3.7999999999999999E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Raphanus"
"14",NA,2,12,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"all visitors","Brassicaceae","Raphanus sativus","all pollinator richness","seed set","positive",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","8.8999999999999996E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Raphanus"
"15",NA,2,13,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"bees","Brassicaceae","Raphanus sativus","all bees (apoidea) abundance","seed set","positive",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","0.121",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Raphanus"
"16",NA,2,14,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"solitary bees","Brassicaceae","Raphanus sativus","solitary bees abundance","seed set","positive",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","0.13300000000000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Raphanus"
"17",NA,2,15,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"hoverflies","Brassicaceae","Raphanus sativus","hoverflies abundance","seed set","positive",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","9.9000000000000005E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Raphanus"
"18",NA,2,16,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"all visitors","Brassicaceae","Raphanus sativus","all pollinator abundance","seed set","positive",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","0.19400000000000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Raphanus"
"19",NA,2,17,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"bees","Brassicaceae","Raphanus sativus","all bees (apoidea) richness","seed weight","positive",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","0.159",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Raphanus"
"20",NA,2,18,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"solitary bees","Brassicaceae","Raphanus sativus","solitary bees richness","seed weight","positive",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","0.14299999999999999",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Raphanus"
"21",NA,2,19,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"hoverflies","Brassicaceae","Raphanus sativus","hoverflies richness","seed weight","neutral",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","4.4999999999999998E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Raphanus"
"22",NA,2,20,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"all visitors","Brassicaceae","Raphanus sativus","all pollinator richness","seed weight","positive",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","8.6999999999999994E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Raphanus"
"23",NA,2,21,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"bees","Brassicaceae","Raphanus sativus","all bees (apoidea) abundance","seed weight","positive",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","0.188",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Raphanus"
"24",NA,2,22,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"solitary bees","Brassicaceae","Raphanus sativus","solitary bees abundance","seed weight","positive",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","0.17",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Raphanus"
"25",NA,2,23,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"hoverflies","Brassicaceae","Raphanus sativus","hoverflies abundance","seed weight","neutral",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","5.8999999999999997E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Raphanus"
"26",NA,2,24,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"all visitors","Brassicaceae","Raphanus sativus","all pollinator abundance","seed weight","positive",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","0.157",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Raphanus"
"27",NA,2,25,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"bees","Campanulaceae","Campanula Glomerata","all bees (apoidea) richness","seed set","positive",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","0.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Campanula"
"28",NA,2,26,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"solitary bees","Campanulaceae","Campanula Glomerata","solitary bees richness","seed set","positive",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","0.11700000000000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Campanula"
"29",NA,2,27,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"hoverflies","Campanulaceae","Campanula Glomerata","hoverflies richness","seed set","neutral",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","8.0000000000000002E-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Campanula"
"30",NA,2,28,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"all visitors","Campanulaceae","Campanula Glomerata","all pollinator richness","seed set","neutral",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","8.8999999999999996E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Campanula"
"31",NA,2,29,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"bees","Campanulaceae","Campanula Glomerata","all bees (apoidea) abundance","seed set","positive",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","0.189",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Campanula"
"32",NA,2,30,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"solitary bees","Campanulaceae","Campanula Glomerata","solitary bees abundance","seed set","positive",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","0.11700000000000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Campanula"
"33",NA,2,31,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"hoverflies","Campanulaceae","Campanula Glomerata","hoverflies abundance","seed set","neutral",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","2.1000000000000001E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Campanula"
"34",NA,2,32,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"all visitors","Campanulaceae","Campanula Glomerata","all pollinator abundance","seed set","neutral",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","8.8999999999999996E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Campanula"
"35",NA,2,33,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"bees","Campanulaceae","Campanula Glomerata","all bees (apoidea) richness","seed weight","neutral",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","8.9999999999999993E-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Campanula"
"36",NA,2,34,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"solitary bees","Campanulaceae","Campanula Glomerata","solitary bees richness","seed weight","neutral",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","1E-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Campanula"
"37",NA,2,35,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"hoverflies","Campanulaceae","Campanula Glomerata","hoverflies richness","seed weight","neutral",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","4.7E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Campanula"
"38",NA,2,36,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"all visitors","Campanulaceae","Campanula Glomerata","all pollinator richness","seed weight","neutral",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","4.2000000000000003E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Campanula"
"39",NA,2,37,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"bees","Campanulaceae","Campanula Glomerata","all bees (apoidea) abundance","seed weight","neutral",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","4.2999999999999997E-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Campanula"
"40",NA,2,38,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"solitary bees","Campanulaceae","Campanula Glomerata","solitary bees abundance","seed weight","neutral",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","1E-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Campanula"
"41",NA,2,39,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"hoverflies","Campanulaceae","Campanula Glomerata","hoverflies abundance","seed weight","neutral",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","0.06",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Campanula"
"42",NA,2,40,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"all visitors","Campanulaceae","Campanula Glomerata","all pollinator abundance","seed weight","positive",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","0.105",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Campanula"
"43",NA,2,41,"Albrecht, Matthias; Duelli, Peter; Mueller, Christine; Kleijn, David; Schmid, Bernhard",2007,"The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","10.1111/j.1365-2664.2007.01306.x","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"all visitors","Asteraceae","Hypochaeris radicata","richness and abundance","all reproductive parameters","neutral",NA,NA,NA,NA,NA,"Exp",45,NA,NA,NA,"R2","--",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Hypochaeris"
"44","81",3,1,"Albrecht, Matthias; Duelli, Peter; Obrist, Martin K.; Kleijn, David; Schmid, Bernhard",2009,"Effective Long-Distance Pollen Dispersal in Centaurea jacea","10.1371/journal.pone.0006751","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"bees","Asteraceae","Centaurea jacea","Bee richness","seed set","positive",NA,NA,NA,NA,NA,"Exp",38,NA,NA,NA,"F","8.2200000000000006",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Centaurea"
"45",NA,3,2,"Albrecht, Matthias; Duelli, Peter; Obrist, Martin K.; Kleijn, David; Schmid, Bernhard",2009,"Effective Long-Distance Pollen Dispersal in Centaurea jacea","10.1371/journal.pone.0006751","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"small-sized pollinators","Asteraceae","Centaurea jacea","small-sized pollinator richness","seed set","neutral",NA,NA,NA,NA,NA,"Exp",38,NA,NA,NA,"F","2.74",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Centaurea"
"46",NA,3,3,"Albrecht, Matthias; Duelli, Peter; Obrist, Martin K.; Kleijn, David; Schmid, Bernhard",2009,"Effective Long-Distance Pollen Dispersal in Centaurea jacea","10.1371/journal.pone.0006751","Aargau","Temperate Broadleaf & Mixed Forests","Agricultural",NA,"large-sized pollinator","Asteraceae","Centaurea jacea","large-sized pollinator richness","seed set","positive",NA,NA,NA,NA,NA,"Exp",38,NA,NA,NA,"F","13.65",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Switzerland",NA,NA,"Centaurea"
